"CAN","TB1","15","2","XTB1-15","","","801","01",
"CAN","TB1","16","19","XTB1-16","","","801","01",
"CAN","TB1","17","3","XTB1-17","","","801","01",
"CAN","TB1","18","20","XTB1-18","","","801","01",
"CAN","TB1","2","39","XTB1-2","","","801","01",
"CAN","TB1","3","35","XTB1-3","","","801","01",
"CAN","TB1","4","37","XTB1-4","","","801","01",
"CAN","TB2","1","25","XTB2-1","","","801","01",
"CAN","TB2","2","26","XTB2-2","","","801","01",
"CAN","TB2","3","27","XTB2-3","","","801","01",
"CAN","TB5","1","0","XTB1-5","","","801","01",
"CAN","VDC-LCR","24","3","VDC-LCR","24","24VDC","801","01",
"CAN","VDC-MCR","24","2","VDC-MCR","24","24VDC","801","01",
